ProvinceKey,ProvinceName,ProvinceNameEng,RegionKey,Region,RegionEng,SourceOfIncomeKey,SourceOfIncome,SourceOfIncomeEng,Year,FarmCulturePlantAnimalMainlyOwningLand,FarmCulturePlantAnimalMainlyRentingLand,FarmCultureFishingForestryHuntingAgri,EntrepreneursNonAgriBusiness,EmployeeTechnicianManager,EmployeeLabourInAgriForestryFishery,EmployeeLabourInLogisticTransportation,EmployeeClericalSalesServiceWorker,EmployeeWorkerProductionConstruction,EconomicallyInactive
11,สมุทรปราการ         ,Samut Prakarn       ,5,ภาคใต้,Southern,10,ค่าจ้างและเงินเดือน,Wages and salaries,2556,0,0,4828,2599,49270,9500,14987,21842,21839,788
11,สมุทรปราการ         ,Samut Prakarn       ,5,ภาคใต้,Southern,11,กำไรสุทธิจากการทำธุรกิจ,Net profits from business,2556,0,0,15074,22155,4761,0,0,827,499,235
11,สมุทรปราการ         ,Samut Prakarn       ,5,ภาคใต้,Southern,12,กำไรสุทธิจากการทำการเกษตร,Net profits from farming,2556,8046,0,25736,0,0,0,0,0,0,0
11,สมุทรปราการ         ,Samut Prakarn       ,5,ภาคใต้,Southern,13,เงินที่ได้รับเป็นการช่วยเหลือ,From current transfers,2556,450,0,403,334,511,200,0,374,346,14925
11,สมุทรปราการ         ,Samut Prakarn       ,5,ภาคใต้,Southern,14,รายได้จากทรัพย์สิน,From property income,2556,11,0,93,116,726,0,0,128,2,1009
11,สมุทรปราการ         ,Samut Prakarn       ,5,ภาคใต้,Southern,15,รายได้ที่ไม่เป็นตัวเงิน,Non-money income,2556,2066,0,3217,5973,6622,2249,1065,1938,1492,4851
11,สมุทรปราการ         ,Samut Prakarn       ,5,ภาคใต้,Southern,16,รายได้ไม่ประจำ (ที่เป็นตัวเงิน) ,Non - current money income,2556,0,0,0,0,0,0,0,3,29,68
19,สระบุรี             ,Saraburi            ,3,ภาคเหนือ,Northern,10,ค่าจ้างและเงินเดือน,Wages and salaries,2558,4162.1,1770.9,0,4223.2,37165.9,8471.6,9559.4,20296.3,28750.9,2858.4
19,สระบุรี             ,Saraburi            ,3,ภาคเหนือ,Northern,11,กำไรสุทธิจากการทำธุรกิจ,Net profits from business,2558,1461.8,958.6,0,21898.9,1751.7,0,0,1438.5,1061.7,248.7
19,สระบุรี             ,Saraburi            ,3,ภาคเหนือ,Northern,12,กำไรสุทธิจากการทำการเกษตร,Net profits from farming,2558,8917.5,17688.2,0,580.4,486.1,255.4,0,137.7,422.6,282.9
19,สระบุรี             ,Saraburi            ,3,ภาคเหนือ,Northern,13,เงินที่ได้รับเป็นการช่วยเหลือ,From current transfers,2558,912.6,1164.4,0,743.4,772.2,419.6,1188.7,1031.2,442.7,9643.8
19,สระบุรี             ,Saraburi            ,3,ภาคเหนือ,Northern,14,รายได้จากทรัพย์สิน,From property income,2558,434.8,150.3,0,65.4,12.9,0,0,705.6,247.4,1557
19,สระบุรี             ,Saraburi            ,3,ภาคเหนือ,Northern,15,รายได้ที่ไม่เป็นตัวเงิน,Non-money income,2558,2788.9,2956.9,0,2737,3606.8,2410,1927.8,2624.7,3505.8,3288
19,สระบุรี             ,Saraburi            ,3,ภาคเหนือ,Northern,16,รายได้ไม่ประจำ (ที่เป็นตัวเงิน) ,Non - current money income,2558,2539.9,0,0,246.1,345.5,0,42.2,138.3,317,406.4
21,ระยอง               ,Rayong              ,5,ภาคใต้,Southern,10,ค่าจ้างและเงินเดือน,Wages and salaries,2556,2105,17637,245,1181,39989,9800,13317,18629,29459,1203
21,ระยอง               ,Rayong              ,5,ภาคใต้,Southern,11,กำไรสุทธิจากการทำธุรกิจ,Net profits from business,2556,783,2953,0,21277,1611,206,0,492,786,147
21,ระยอง               ,Rayong              ,5,ภาคใต้,Southern,12,กำไรสุทธิจากการทำการเกษตร,Net profits from farming,2556,37678,36300,11511,410,573,137,0,604,189,614
21,ระยอง               ,Rayong              ,5,ภาคใต้,Southern,13,เงินที่ได้รับเป็นการช่วยเหลือ,From current transfers,2556,537,698,282,797,758,120,0,448,350,12396
21,ระยอง               ,Rayong              ,5,ภาคใต้,Southern,14,รายได้จากทรัพย์สิน,From property income,2556,181,0,0,150,227,0,1,3,1,595
21,ระยอง               ,Rayong              ,5,ภาคใต้,Southern,15,รายได้ที่ไม่เป็นตัวเงิน,Non-money income,2556,3250,3597,2063,3611,4124,1996,1493,2609,3091,3673
21,ระยอง               ,Rayong              ,5,ภาคใต้,Southern,16,รายได้ไม่ประจำ (ที่เป็นตัวเงิน) ,Non - current money income,2556,157,0,0,43,66,0,23,46,74,6
21,ระยอง               ,Rayong              ,5,ภาคใต้,Southern,10,ค่าจ้างและเงินเดือน,Wages and salaries,2558,3502.7,0,4434.5,1706.9,47182.3,9555.5,12416.1,21436.4,28307.9,941.9
21,ระยอง               ,Rayong              ,5,ภาคใต้,Southern,11,กำไรสุทธิจากการทำธุรกิจ,Net profits from business,2558,669.1,0,0,19698.4,487.1,125.6,0,1087.3,644.6,582.4
21,ระยอง               ,Rayong              ,5,ภาคใต้,Southern,12,กำไรสุทธิจากการทำการเกษตร,Net profits from farming,2558,22745.5,20666,32276.9,48,743.2,153.2,0,312.7,503.7,235.5
21,ระยอง               ,Rayong              ,5,ภาคใต้,Southern,13,เงินที่ได้รับเป็นการช่วยเหลือ,From current transfers,2558,639,0,568.1,712.8,3196.5,458,1996.7,367.1,188.1,9417.1
21,ระยอง               ,Rayong              ,5,ภาคใต้,Southern,14,รายได้จากทรัพย์สิน,From property income,2558,38.7,24.5,0,3.2,18.4,2.6,0,4.7,4.9,843.4
21,ระยอง               ,Rayong              ,5,ภาคใต้,Southern,15,รายได้ที่ไม่เป็นตัวเงิน,Non-money income,2558,3250.7,5211.5,4419.5,3101.7,4667.8,2407.8,2574.2,3222.7,3036.3,4080.4
